"","date","state","fips","cases","deaths"
"1",2020-01-21,"washington",53,1,0
"2",2020-01-22,"washington",53,1,0
"3",2020-01-23,"washington",53,1,0
"4",2020-01-24,"illinois",17,1,0
"5",2020-01-24,"washington",53,1,0
"6",2020-01-25,"california",6,1,0
"7",2020-01-25,"illinois",17,1,0
"8",2020-01-25,"washington",53,1,0
"9",2020-01-26,"arizona",4,1,0
"10",2020-01-26,"california",6,2,0
"11",2020-01-26,"illinois",17,1,0
"12",2020-01-26,"washington",53,1,0
"13",2020-01-27,"arizona",4,1,0
"14",2020-01-27,"california",6,2,0
"15",2020-01-27,"illinois",17,1,0
"16",2020-01-27,"washington",53,1,0
"17",2020-01-28,"arizona",4,1,0
"18",2020-01-28,"california",6,2,0
"19",2020-01-28,"illinois",17,1,0
"20",2020-01-28,"washington",53,1,0
"21",2020-01-29,"arizona",4,1,0
"22",2020-01-29,"california",6,2,0
"23",2020-01-29,"illinois",17,1,0
"24",2020-01-29,"washington",53,1,0
"25",2020-01-30,"arizona",4,1,0
"26",2020-01-30,"california",6,2,0
"27",2020-01-30,"illinois",17,2,0
"28",2020-01-30,"washington",53,1,0
"29",2020-01-31,"arizona",4,1,0
"30",2020-01-31,"california",6,3,0
"31",2020-01-31,"illinois",17,2,0
"32",2020-01-31,"washington",53,1,0
"33",2020-02-01,"arizona",4,1,0
"34",2020-02-01,"california",6,3,0
"35",2020-02-01,"illinois",17,2,0
"36",2020-02-01,"massachusetts",25,1,0
"37",2020-02-01,"washington",53,1,0
"38",2020-02-02,"arizona",4,1,0
"39",2020-02-02,"california",6,6,0
"40",2020-02-02,"illinois",17,2,0
"41",2020-02-02,"massachusetts",25,1,0
"42",2020-02-02,"washington",53,1,0
"43",2020-02-03,"arizona",4,1,0
"44",2020-02-03,"california",6,6,0
"45",2020-02-03,"illinois",17,2,0
"46",2020-02-03,"massachusetts",25,1,0
"47",2020-02-03,"washington",53,1,0
"48",2020-02-04,"arizona",4,1,0
"49",2020-02-04,"california",6,6,0
"50",2020-02-04,"illinois",17,2,0
"51",2020-02-04,"massachusetts",25,1,0
"52",2020-02-04,"washington",53,1,0
"53",2020-02-05,"arizona",4,1,0
"54",2020-02-05,"california",6,6,0
"55",2020-02-05,"illinois",17,2,0
"56",2020-02-05,"massachusetts",25,1,0
